text,label
"Win money now!!! Click this link",1
"Limited offer, claim your prize today",1
"Congratulations, you won a free lottery",1
"Earn $1000 per day working from home",1
"Cheap loans available, apply now",1
"Meeting scheduled at 10am tomorrow",0
"Please review the attached document",0
"Let's have lunch today",0
"Project deadline is next Monday",0
"Can you send me the report?",0
"Free gift card waiting for you",1
"Your bank account has been compromised",1
"Team standup moved to 11am",0
"Monthly performance report attached",0
